time_bkjd,flux,flux_error,quality
260.2251091048238,,,0
261.47150813633925,,,0
264.1481981390971,,,0
264.45468842968694,,,0
267.41743146817316,,,0
267.43786426549195,,,0
267.4582968625764,,,0
267.4787295596543,,,0
267.49916235650744,,,0
267.5195949528861,,,0
267.5400276492728,,,0
270.4006025833369,,,0
271.52439870471426,,,0
271.544831359417,,,0
273.38376916586276,,,0
276.3669316519736,,,0
277.10250539733534,,,0
279.3500903925378,,,0
280.41258442892286,,,0
280.5556124672803,,,0
280.57604514352715,,,0
280.5964776197652,,,0
280.6169101957785,,,0
280.6373427715589,,,0
280.6577754473328,,,0
280.67820792287966,,,0
280.69864049819444,,,0
280.7190731735027,,,0
280.7395056485839,,,0
280.7599382236658,,,0
280.78037069828133,,,0
280.8008033731239,,,0
280.8212359475074,,,0
280.84166852188355,,,0
280.86210109603417,,,0
280.8825336701848,,,0
280.9029662441026,,,0
280.92339881778025,,,0
280.9438313914652,,,0
280.96426396491006,,,0
280.9846964381286,,,0
281.00512911134865,,,0
281.0255616843351,,,0
281.04599415719713,,,0
281.0664268298351,,,0
281.08685940246505,,,0
281.1072918748687,,,0
281.12772444715665,,,0
281.14815711921256,,,0
281.1685896912604,,,0
281.189022163082,,,0
281.20945483466494,,,0
281.22988730625366,,,0
281.2503198776103,,,0
281.27075244885054,,,0
281.2911850199671,,,0
281.3116175908581,,,0
281.33205016163265,,,0
282.33324585262744,,,0
284.3356360342732,,,0
285.3163983097911,,,0
286.0928347101799,,,0
287.91133000538684,,,0
288.29954795401136,,,0
290.48582756977703,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
293.44854133621266,,,0
296.43168612474983,,,0
296.57471350350534,,,0
299.4148297444699,,,0
300.3547241149208,,,0
302.39797282926884,,,0
305.3811157189484,,,0
308.36425885764766,,,0
311.34740269285976,,,0
314.33054767370777,,,0
317.3136943495265,,,0
320.29684306812123,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
323.2595537207526,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
323.52518773325573,,,0
323.8929737593935,,,0
324.4446527849068,,,0
327.42780828024115,,,0
330.4313997154386,,,0
331.10567586943944,,,0
333.3941299813014,,,0
336.3772972216393,,,0
336.68378730069526,,,0
339.3400360230735,,,0
342.3436458848373,,,0
343.3448502983738,,,0
345.32682846702664,,,0
346.85928764304845,,,0
348.2895842087455,,,0
349.43382254858443,,,0
