time_bkjd,flux,flux_error,quality,normalized_flux,model_flux,residual_flux
260.24554198689293,11392.7158203125,5.603630065917969,0,1.0040828565768978,1.0016974805264196,0.002385376050478172
260.2659747684884,11378.7041015625,5.603157997131348,0,1.0028479511504877,1.0016429201190578,0.0012050310314299928
260.2864074498575,11378.74609375,5.6048407554626465,0,1.0028516520797695,1.001588303147629,0.001263348932140529
260.3068403309953,11388.2119140625,5.603868007659912,0,1.0036859103943911,1.0015336312014025,0.0021522791929886598
260.3272731118923,11380.6787109375,5.603336811065674,0,1.0030219808948564,1.0014789074766663,0.001543073418190044
260.3477057925629,11377.7333984375,5.604099750518799,0,1.0027623994363914,1.0014241343703585,0.001338265066032962
260.3681385730015,11373.091796875,5.604320049285889,0,1.0023533176485655,1.0013693137447555,0.0009840039038100379
260.3885714529679,11382.3369140625,5.60399055480957,0,1.003168124567427,1.001314448000299,0.001853676567128204
260.40900413294,11374.734375,5.604656219482422,0,1.0024980842311708,1.0012595403440105,0.0012385438871602705
260.4294369124473,11377.1943359375,5.604671955108643,0,1.0027148898325875,1.0012045923755815,0.001510297457006038
260.449869791948,11382.00390625,5.605689525604248,0,1.003138775337541,1.001149606499257,0.001989168838283817
260.4703024709888,11381.5146484375,5.605885028839111,0,1.0030956552080015,1.0010945859315328,0.0020010692764687033
260.4907352497976,11381.5986328125,5.606296539306641,0,1.003103057066565,1.0010395322734555,0.0020635247931095613
260.511168128367,11369.1259765625,5.60447883605957,0,1.00200379500174,1.000984447935256,0.0010193470664838777
260.5316008067093,11366.6416015625,5.606377601623535,0,1.0017848376972525,1.0009293361378808,0.0008555015593716409
260.5520335848196,11361.7958984375,5.604074478149414,0,1.0013577676717544,1.000874198485604,0.0004835691861504454
260.57246636268974,11363.583984375,5.604529857635498,0,1.0015153584046619,1.0008190376624582,0.0006963207422037154
260.5928992403351,11384.857421875,5.607546329498291,0,1.0033902663924594,1.0007638558136587,0.002626410578800753
260.6133319177461,11372.515625,5.605393409729004,0,1.0023025374560939,1.0007086561658407,0.001593881290253174
260.63376469468494,11367.3701171875,5.606494426727295,0,1.0018490445168862,1.0006534403263931,0.001195604190493027
260.654197571399,11357.8486328125,5.607394695281982,0,1.0010098803192629,1.0005982107122084,0.00041166960705441014
260.6746302481115,11354.1650390625,5.606191158294678,0,1.0006852313599361,1.0005429705520308,0.0001422608079053589
260.69506302435184,11365.5146484375,5.607304573059082,0,1.0016855150835031,1.000487721455005,0.001197793628498145
260.71549570036586,11352.5048828125,5.607482433319092,0,1.0005389155511197,1.0004324663804618,0.00010644917065794068
260.7359285761486,11352.3271484375,5.607017517089844,0,1.0005232511527642,1.000377206936611,0.00014604421615316276
260.75636135169043,11349.0546875,5.605637073516846,0,1.0002348368731502,1.0003219463544608,-8.710948131063212e-05
260.7767941270067,11360.927734375,5.608036518096924,0,1.0012812531105557,1.0002666867832681,0.0010145663272875804
260.7972269020902,11353.587890625,5.607799053192139,0,1.0006343650993417,1.0002114306427428,0.00042293445659891127
260.81765967693354,11345.865234375,5.606587886810303,0,0.9999537383839772,1.0001561803524441,-0.00020244196846697093
260.83809235131775,11356.9150390625,5.606879711151123,0,1.0009275991938342,1.000100938602584,0.000826660591250139
260.8585251257027,11355.892578125,5.606921195983887,0,1.000837485869228,1.0000457072701103,0.0007917785991176096
260.8789579996155,11345.7158203125,5.606680870056152,0,0.9999405699611837,0.9999904887749295,-4.9918813745719604e-05
260.89939077353483,11362.1767578125,5.610710144042969,0,1.0013913342396594,0.9999352860741236,0.0014560481655357949
260.9198234469877,11342.8212890625,5.606736183166504,0,0.9996854640451063,0.9998801015859238,-0.0001946375408174994
260.940256320202,11350.87890625,5.606116771697998,0,1.0003956121266027,0.9998249369160324,0.0005706752105703039
260.96068899318925,11354.650390625,5.607882499694824,0,1.0007280072169842,0.9997697955598442,0.0009582116571399402
